TestType,ClusterSize,RequestCount,ClientCount,ConnectionCount,KeySize,ValueSize,Consistency,Total,Slowest,Fastest,Average,Stddev,Requests/sec,10%,25%,50%,75%,90%,95%
write,2,1000,1,1,4,64,-,222.0937,0.6422,0.2198,0.2221,0.0133,4.5026,0.2211,0.2214,0.2217,0.2219,0.2222,0.2223
write,2,1000,1,1,8,256,-,222.0378,0.6422,0.2196,0.2220,0.0133,4.5037,0.2207,0.2213,0.2216,0.2219,0.2223,0.2228
write,2,10000,1000,100,4,64,-,15.9639,3.8567,0.5896,1.5139,0.6207,626.4140,1.0535,1.1534,1.2641,1.5327,2.5660,2.6879
write,2,10000,1000,100,8,256,-,32.8598,15.8112,0.5849,3.0491,1.4401,304.3229,2.0691,2.4312,2.5802,2.9343,5.0610,6.3069
write,2,10000,1000,100,4,64,-,16.2816,3.9607,0.6068,1.5233,0.6101,614.1915,1.0844,1.2069,1.2929,1.4800,2.5863,2.7098
write,2,10000,1000,100,8,256,-,40.8750,13.0313,0.6121,3.0527,1.4737,244.6484,2.1083,2.2974,2.5731,3.0186,5.0288,6.2167
write,2,100000,1000,100,4,64,-,150.9917,5.1615,0.5972,1.5022,0.5712,662.2881,1.1556,1.2040,1.2735,1.3655,2.5465,2.6267
write,2,100000,1000,100,8,256,-,302.9386,15.0005,0.5936,3.0132,0.8809,330.0999,2.4876,2.7163,2.8833,2.9502,3.0137,5.1867
write,2,100000,1000,100,4,64,-,144.9626,5.6176,0.6311,1.4391,0.2509,689.8333,1.3289,1.3804,1.4166,1.4381,1.4567,1.4728
write,2,100000,1000,100,8,256,-,302.7955,15.0167,0.6634,3.0120,0.8257,330.2559,2.6280,2.7675,2.8599,2.9412,2.9901,5.3955
read,2,1000,1,1,-,-,l,220.8101,0.6734,0.2187,0.2208,0.0143,4.5288,0.2200,0.2202,0.2204,0.2205,0.2207,0.2207
read,2,1000,1,1,-,-,s,207.4388,0.6331,0.2063,0.2074,0.0135,4.8207,0.2068,0.2069,0.2070,0.2071,0.2072,0.2072
read,2,10000,100,100,-,-,l,29.1164,0.9292,0.2471,0.2898,0.0513,343.4485,0.2675,0.2747,0.2835,0.2931,0.3034,0.3112
read,2,10000,100,100,-,-,s,27.4553,0.9035,0.2444,0.2728,0.0509,364.2288,0.2587,0.2610,0.2652,0.2705,0.2778,0.2844
read,2,100000,100,100,-,-,l,276.3772,0.9761,0.2372,0.2762,0.0219,361.8243,0.2586,0.2657,0.2759,0.2842,0.2918,0.2976
read,2,100000,100,100,-,-,s,264.3478,0.9440,0.2220,0.2642,0.0189,378.2895,0.2557,0.2584,0.2626,0.2682,0.2736,0.2769
